"Année","Consommation annuelle totale de l'adresse (MWh)","Consommation annuelle moyenne par logement de l'adresse (MWh)","Consommation annuelle moyenne de la commune (MWh)","adresse","numero_dpe","etiquette_dpe","etiquette_ges","annee_construction","surface_habitable_logement","conso_5 usages_ef","emission_ges_5_usages","cout_total_5_usages","nombre_appartement"
2024,50.919,1.697,2.631,"20 RUE GILBERT CESBRON 750 PARIS","2475E3767603V","B","B",NA,60.9,4475.1,614.1,479.5,30
2024,172.144,1.355,2.631,"47 RUE GUERSANT 750 PARIS","2475E1421113F","D","D",1966,13.6,2947.1,636.1,228,124
2024,232.125,2.073,2.631,"2 RUE GUSTAVE ROUANET 750 PARIS","2475E3572037B","F","E",1900,29.2,10717.4,1808.5,1015,113
2024,35.463,1.075,2.631,"59 RUE GUTENBERG 750 PARIS","2475E3607421Z","D","D",1970,111.1,22913.4,3732.7,2376,37
2024,31.485,2.862,2.631,"53 RUE GUTENBERG 750 PARIS","2475E0403046U","D","B",1945,30.7,3318.2,215.2,626,12
2024,103.436,5.172,2.631,"21 RUE GUTENBERG 750 PARIS","2475E2392666Q","E","B",1945,35,4956.3,350,1097,21
2024,21.464,1.651,2.631,"110 RUE HAXO 750 PARIS","2475E2311841Z","D","D",1975,60,13579.3,2972.5,988.1,15
2024,38.802,1.617,2.631,"27 RUE HELENE JAKUBOWICZ 750 PARIS","2475E2354813T","D","D",1925,65,13174.1,2861.3,1269.7,57
2024,68.09,6.19,2.631,"15 RUE HENRI DESGRANGE 750 PARIS","2475E3419738K","D","B",1994,84,7196.6,528,1542.6,32
2024,118.978,1.565,2.631,"4 RUE HENRI MURGER 750 PARIS","2475E4288180A","D","D",1981,80.7,14233.4,3058.6,1586,77
2024,107.299,2.439,2.631,"14 RUE HOUDON 750 PARIS","2475E0583170Q","G","C",1945,17,3693.5,255.6,682,51
2024,30.789,0.628,2.631,"16 PLACE JACQUES BONSERGENT 750 PARIS","2475E1178812Y","D","D",1960,23.7,4052,853.5,347,17
2024,68.678,2.146,2.631,"33 RUE JACQUES IBERT 750 PARIS","2475E4122201F","C","C",NA,76,10096.1,2162.3,1341.6,33
2024,56.509,0.715,2.631,"15 RUE JEAN JACQUES ROUSSEAU 750 PARIS","2475E0535713J","E","E",1934,40.5,10207.6,2274.1,695,83
2024,65.524,2.73,2.631,"66 AVENUE JEAN MOULIN 750 PARIS","2475E2609971N","F","F",1949,95.6,32602.8,7313.4,3418,21
2024,62.731,0.936,2.631,"35 AVENUE JEAN MOULIN 750 PARIS","2475E2027934M","D","D",1930,80,15157.7,3386.1,1015,122
2024,23.209,1.934,2.631,"23 RUE JEAN PIERRE TIMBAUD 750 PARIS","2475E2561040O","C","C",NA,93.7,8835.2,1900,1185.1,12
2024,78.427,2.064,2.631,"18 RUE JEAN PIERRE TIMBAUD 750 PARIS","2475E3656793X","E","B",1930,33,3944.5,287.1,905.4,16
2024,335.452,1.621,2.631,"93 RUE JEANNE D ARC 750 PARIS","2475E0506038A","C","C",1964,36,4058.6,740.3,343.5,209
2024,40.377,1.188,2.631,"131 RUE JEANNE D ARC 750 PARIS","2475E1596019J","E","C",1973,45,12241.4,1155.7,1095,57
2024,205.568,2.284,2.631,"8 RUE JOSEPH BARA 750 PARIS","2475E2560718E","C","C",1980,64.9,6793.3,1217.5,731,96
2024,69.225,6.922,2.631,"5 RUE JOSEPH BARA 750 PARIS","2475E2658860W","D","D",1949,248.7,53296.9,11943.1,5234,10
2024,111.761,3.021,2.631,"3 RUE JOSEPH GRANIER 750 PARIS","2475E3414846G","D","C",1930,76.4,11280.5,1650.7,1433,20
2024,151.157,4.085,2.631,"3 RUE JULES DUMIEN 750 PARIS","2475E2085756K","D","D",1956,45,10032.5,2248.4,641.2,32
2024,35.498,1.972,2.631,"7 RUE JULES DUMIEN 750 PARIS","2475E2196621L","E","E",1935,67,16100.9,3607.9,1019.5,48
2024,20.33,1.271,2.631,"8 RUE JULES SIMON 750 PARIS","2475E0300851F","E","D",1959,40.7,9996.5,1829.3,840,74
2024,47.547,2.161,2.631,"11 RUE LA CONDAMINE 750 PARIS","2475E1545132E","D","D",1900,42.5,7915.7,1720.5,825.3,14
